AREA,PERIMETER,CTYONLY_,CTYONLY_ID,COUN,CTY_NAME,CTY_ABBR,CTY_FIPS,MaxSimpTol,MinSimpTol,Shape_Leng,Shape_Area,geometry
4608320923.5,388250.145723,2,1,39,Lake of the Woods,LOTW,77,500,500,382908.667257,4603356736.04,"list(c(330081.6632, 342511.687, 343717.014, 345464.161, 350523.204, 353735.447, 355601.838, 358282.097, 365276.171, 368014.398, 367267.98, 369016.559, 370650.365, 372282.429, 376584.508, 375891.834, 376320.015, 374907.878, 375776.781, 378580.337, 379321.597, 380950.928, 383221.953, 386055.792, 386761.869, 393117.957, 394785.7823, 394174.1397, 336270.1662, 336735.1932, 327092.0491, 327682.7545, 346269.1048, 346787.7098, 342528.2955, 336767.5571, 334698.481, 331415.5739, 329923.1959, 329930.73, 331265.58, 
330131.4553, 330081.6632, 5429937.0851, 5429563.962, 5472427.737, 5470817.577, 5468764.15, 5469035.965, 5470372.949, 5470279.764, 5465165.576, 5464771.82, 5461781.749, 5451007.133, 5442365.129, 5439906.26, 5415940.487, 5414275.896, 5411045.092, 5409315.673, 5404156.515, 5401664.555, 5399988.389, 5399513.897, 5397277.143, 5396903.666, 5395550.591, 5394280.336, 5395220.8519, 5358130.7033, 5359343.1796, 5378678.9205, 5378987.8872, 5398200.344, 5397649.244, 5420753.0099, 5417704.4255, 5416680.4465, 5417064.7105, 
5419329.7908, 5422566.9729, 5423481.6314, 5424256.7805, 5425485.7041, 5429937.0851))"
2862183702.23,263017.482774,3,2,35,Kittson,KITT,69,500,500,251230.831284,2855456412.09,"list(c(250934.678, 249563.8547, 250859.6325, 249941.8832, 192756.0365, 192716.625, 194669.9369, 191961.8976, 193986.0031, 193216.7165, 194429.8605, 194596.1379, 193781.764, 195278.5786, 194135.3923, 195701.197, 195452.6124, 196435.7049, 195663.5768, 197325.3987, 196920.7244, 198226.0652, 197496.5173, 198159.1669, 198220.0924, 199001.758, 196904.1511, 197680.1817, 195749.2305, 196444.4937, 195483.0965, 195858.9596, 194710.0055, 195387.2343, 194464.3176, 195359.9725, 193494.9546, 194238.7532, 192954.9944, 
194750.0846, 192408.3524, 193766.0177, 193148.0367, 193896.0411, 193522.6046, 192698.6625, 193699.4584, 192141.4728, 192053.7395, 192933.1664, 191478.9418, 191351.8355, 190012.2422, 190465.5609, 250934.678, 5433053.1834, 5401603.303, 5401546.1679, 5382327.0859, 5385132.5038, 5386250.2608, 5386030.2603, 5387111.4766, 5388046.0425, 5389294.4482, 5389323.0978, 5390454.9734, 5390841.8759, 5392077.0856, 5392678.4993, 5392771.5136, 5393773.464, 5393198.3055, 5394755.2126, 5394772.2238, 5396182.6188, 5397913.1503, 
5398309.5497, 5398657.7813, 5400308.9757, 5400527.5156, 5402494.6518, 5403179.8819, 5405370.326, 5405907.3078, 5406373.7139, 5407927.3977, 5408455.5614, 5409622.2396, 5410830.9648, 5411473.6322, 5412880.323, 5413710.8715, 5413459.8433, 5414715.1784, 5415385.9998, 5417886.0454, 5418884.0081, 5419241.0532, 5420603.4496, 5420847.8487, 5422019.4566, 5422754.3787, 5423978.2031, 5424293.4951, 5425377.8538, 5428413.0049, 5430251.4893, 5435977.8934, 5433053.1834))"
4347098503.13,302590.75293,4,3,68,Roseau,ROSE,135,500,500,298707.158612,4357803162.84,"list(c(250934.678, 330081.6632, 330131.4553, 331265.58, 329930.73, 329923.1959, 331415.5739, 334698.481, 336767.5571, 342528.2955, 346787.7098, 346269.1048, 327682.7545, 327092.0491, 307913.5579, 249941.8832, 250859.6325, 249563.8547, 250934.678, 5433053.1834, 5429937.0851, 5425485.7041, 5424256.7805, 5423481.6314, 5422566.9729, 5419329.7908, 5417064.7105, 5416680.4465, 5417704.4255, 5420753.0099, 5397649.244, 5398200.344, 5378987.8872, 5379467.4483, 5382327.0859, 5401546.1679, 5401603.303, 5433053.1834
))"
8167237870.92,412897.435943,5,4,36,Koochiching,KOOC,71,500,500,406897.006631,8169836986.85,"list(c(394785.7823, 395845.971, 401178.758, 405008.379, 406956.435, 407781.362, 407876.251, 409832.579, 425823.454, 429784.801, 437786.332, 440526.762, 439574.059, 441807.792, 451311.033, 453603.702, 454791.275, 465505.356, 466230.139, 465677.106, 467568.226, 470097.575, 470852.525, 472617.054, 474004.266, 474307.566, 481241.176, 484712.34, 486854.754, 493479.3742, 492758.8365, 493955.9947, 442014.8244, 441929.0444, 393865.6719, 394174.1397, 394785.7823, 5395220.8519, 5396294.095, 5395356.05, 5395779.614, 
5394765.963, 5393346.407, 5390071.307, 5389212.104, 5388289.439, 5387219.916, 5386693.653, 5381026.655, 5375690.515, 5373937.064, 5373910.285, 5375609.577, 5374546.604, 5377144.389, 5378615.304, 5382165.978, 5382382.509, 5384162.961, 5383488.579, 5383708.394, 5384549.934, 5385990.218, 5387781.331, 5387736.267, 5385563.667, 5386074.1412, 5328679.4661, 5304317.6666, 5305374.1051, 5299515.992, 5300138.2584, 5358130.7033, 5395220.8519))"
4698732287.55,374207.651291,6,5,45,Marshall,MARS,89,500,500,360607.261059,4687280814.75,"list(c(249941.8832, 307913.5579, 307154.5341, 239753.0616, 191741.086, 192556.9095, 191571.9115, 192703.6762, 192359.3568, 193246.46, 192552.5557, 194104.1198, 192601.6302, 191612.3614, 192770.0145, 193982.0491, 192256.2907, 193099.2571, 192166.1167, 193804.7859, 193448.177, 194034.4655, 192439.0178, 193909.3987, 194615.5519, 194194.6958, 193252.4581, 193148.0581, 193911.5525, 195037.6408, 194010.8684, 194156.999, 193225.152, 194953.2025, 193027.3262, 194286.7289, 193261.5277, 193594.6242, 192189.8408, 
193586.8138, 193986.7257, 192711.2709, 191829.0692, 194297.6211, 193720.4957, 192898.0916, 192676.2386, 195020.0948, 193353.9784, 194689.7341, 194974.9453, 193060.3168, 194810.4011, 193490.6376, 194875.3368, 192394.2716, 194089.27, 193933.7771, 194764.4275, 193529.2388, 193514.7039, 195301.101, 193407.4169, 193374.9894, 194313.6983, 192756.0365, 249941.8832, 5382327.0859, 5379467.4483, 5338779.2153, 5341580.1447, 5343872.7572, 5344220.6718, 5345026.9608, 5346484.1262, 5347327.1448, 5347709.121, 5348680.214, 
5347814.3457, 5349256.7179, 5349051.9961, 5349804.7179, 5349494.6159, 5350569.1154, 5351138.0956, 5351791.1916, 5352315.6484, 5353337.7858, 5353605.2688, 5354482.5054, 5354591.0867, 5355579.3798, 5356844.332, 5356477.1097, 5357006.3012, 5357771.5921, 5357430.12, 5358324.715, 5359189.2745, 5359004.9899, 5360494.3149, 5360798.8116, 5362385.7758, 5362888.183, 5363716.4867, 5365285.1577, 5365838.7405, 5367039.9175, 5367129.7073, 5368247.9867, 5369818.6622, 5371099.0574, 5370503.7698, 5371115.5278, 5371095.704, 
5372529.5088, 5372469.3415, 5373639.7092, 5373622.8949, 5375699.7174, 5377158.8244, 5377417.0304, 5377779.1106, 5378460.3697, 5379317.126, 5378901.2236, 5380286.9535, 5381486.9604, 5382347.5954, 5382468.844, 5383489.3505, 5384103.0113, 5385132.5038, 5382327.0859))"
17451037319.2,682518.436003,7,6,69,St. Louis,STLO,137,500,500,667338.326255,17456566891.7,"list(c(493479.3742, 501136.55, 503331.026, 503685.055, 520047.475, 526949.266, 527551.876, 522261.964, 521240.425, 523065.189, 525427.486, 536421.444, 538811.359, 540222.235, 538768.842, 539282.922, 543341.824, 546800.946, 549263.035, 554224.079, 551818.987, 552311.103, 551438.976, 552697.159, 554632.112, 558778.765, 558980.747, 560859.984, 563335.065, 563434.912, 567893.874, 569985.247, 570632.193, 574122.572, 573202.312, 573727.362, 575024.331, 576050.58, 576457.025, 577637.723, 578098.111, 577339.663, 
577351.031, 582188.375, 584115.486, 584373.67, 587998.941, 589289.4034, 590030.9022, 591206.0099, 591752.1642, 590026.2424, 588477.872, 585208.269, 569515.3008, 569356.4665, 570530.6576, 575194.955, 573839.1072, 569545.0354, 567475.8872, 565453.412, 565246.7718, 561973.7716, 560796.7158, 563003.594, 560884.2349, 560671.4716, 557965.577, 556876.6802, 555813.8367, 554511.6581, 554148.542, 553470.6938, 553330.8284, 495302.8157, 495747.3989, 495735.6592, 494959.6591, 494770.5896, 495395.4461, 493836.4413, 
493955.9947, 492758.8365, 493479.3742, 5386074.1412, 5385638.064, 5386497.208, 5383919.425, 5376287.321, 5376670.279, 5372306.489, 5371345.684, 5367800.523, 5365665.164, 5364871.266, 5366210.286, 5362962.664, 5362468.237, 5357770.022, 5355570.759, 5349263.856, 5340975.724, 5342705.726, 5344143.512, 5348579.912, 5350577.259, 5351683.087, 5354647.757, 5356011.36, 5355022.55, 5355712.925, 5355728.689, 5357299.338, 5356225.854, 5356020.382, 5356674.43, 5353948.626, 5352472.759, 5349831.426, 5346277.121, 
5345723.982, 5343963.515, 5345019.169, 5344867.429, 5344169.952, 5343926.792, 5342737.143, 5343343.567, 5341281.911, 5339925.41, 5340521.101, 5339559.1833, 5287416.8306, 5266651.4055, 5199168.1933, 5197401.9654, 5197644.5598, 5195299.3593, 5182593.1028, 5180931.7972, 5178725.6791, 5172960.1103, 5173273.5697, 5177701.178, 5177610.935, 5176032.7483, 5173952.3071, 5174095.5503, 5172583.2802, 5170638.8915, 5168461.1923, 5166792.0916, 5166465.438, 5167510.8057, 5166611.8483, 5168444.6948, 5167985.0414, 
5168011.8027, 5179198.8421, 5179229.6113, 5208109.9652, 5217311.8511, 5217313.8612, 5249647.4053, 5285230.9077, 5285240.5789, 5304317.6666, 5328679.4661, 5386074.1412))"
7911449532.87,429419.170499,8,7,4,Beltrami,BELT,7,500,500,426744.478153,7899701788.16,"list(c(327092.0491, 336735.1932, 336270.1662, 394174.1397, 393865.6719, 393234.3966, 393178.6726, 373992.8346, 335324.0175, 335981.3149, 331656.7566, 329840.8426, 331071.1467, 333796.3586, 307417.5335, 306713.4004, 307154.5341, 307913.5579, 327092.0491, 5378987.8872, 5378678.9205, 5359343.1796, 5358130.7033, 5300138.2584, 5255577.4991, 5251902.8908, 5252100.9025, 5253328.2802, 5304466.4326, 5306090.6394, 5310874.1925, 5316232.2367, 5320934.4718, 5321826.3438, 5321844.1696, 5338779.2153, 5379467.4483, 
5378987.8872))"
5177876131.65,458889.415507,9,8,60,Polk,POLK,119,500,500,438837.745562,5184530153.24,"list(c(191741.086, 239753.0616, 238972.0689, 240337.237, 240069.0854, 239508.4346, 249175.9302, 248838.5092, 287389.7143, 287784.8776, 297335.0208, 297628.1742, 307124.2621, 306444.3483, 308325.0763, 307853.3488, 268973.7854, 210147.7252, 209870.0016, 210699.7109, 209851.7598, 210734.5347, 209289.8586, 208633.3754, 209995.0347, 209317.1186, 210629.8841, 209542.7994, 210372.173, 209524.0869, 210621.4764, 209015.1608, 210331.4176, 209689.2064, 210554.5781, 209919.7725, 210529.3403, 210254.8266, 208467.231, 
208922.6836, 207929.449, 208370.8681, 207536.2425, 206481.7707, 205855.9069, 206553.1229, 205998.0459, 205168.6357, 206158.4638, 205164.8599, 205521.0861, 204739.0981, 205559.0066, 205171.5559, 203603.4842, 203562.2793, 202992.4761, 203641.7172, 203008.7876, 201161.3434, 202126.7704, 202558.5285, 201593.7998, 202032.6267, 200906.3142, 200701.9729, 199185.1016, 199854.1182, 197260.3948, 196822.0913, 197628.0787, 196368.2222, 196596.0297, 194280.6332, 194709.3001, 193993.1504, 194613.9186, 193090.4332, 
192508.6876, 193312.3071, 191569.7456, 193566.7143, 192016.3304, 191741.086, 5343872.7572, 5341580.1447, 5324643.8503, 5324578.5636, 5318124.6289, 5305215.5198, 5304769.2682, 5295109.1924, 5293622.0785, 5303323.1526, 5303015.9281, 5312679.9977, 5312174.821, 5283246.8201, 5283188.664, 5263894.6728, 5265202.4236, 5267787.2307, 5268687.0602, 5268895.7139, 5269247.8765, 5269654.8419, 5269723.4023, 5271020.5602, 5271953.6346, 5272503.7268, 5272184.5481, 5273054.9705, 5273825.942, 5274537.0406, 5275271.8776, 
5275417.1887, 5275583.9526, 5276236.5421, 5277944.7687, 5278540.9817, 5278775.6488, 5280020.9767, 5281302.98, 5282227.2179, 5283445.5665, 5287368.1259, 5287471.7132, 5290554.3728, 5290359.7023, 5291105.4965, 5292299.5746, 5292156.0963, 5293049.8209, 5294579.2836, 5296030.7753, 5296568.7995, 5296575.4055, 5297911.0547, 5298906.3542, 5300044.7441, 5299852.2558, 5300654.062, 5301617.965, 5302725.4019, 5302838.9408, 5304316.0735, 5304614.9157, 5305132.1607, 5306429.2714, 5309463.195, 5310132.6957, 5315200.8073, 
5318289.4482, 5320340.4954, 5323191.0701, 5326451.4733, 5329413.3746, 5332503.9314, 5333980.557, 5334632.9019, 5335101.3225, 5336381.0766, 5339805.8806, 5340057.8562, 5340426.9805, 5342423.6215, 5342406.797, 5343872.7572))"
1601102945.99,190039.741504,10,9,57,Pennington,PENN,113,500,500,189962.965148,1606047853.45,"list(c(239753.0616, 307154.5341, 306713.4004, 307417.5335, 307124.2621, 297628.1742, 297729.225, 240069.0854, 240337.237, 238972.0689, 239753.0616, 5341580.1447, 5338779.2153, 5321844.1696, 5321826.3438, 5312174.821, 5312679.9977, 5315887.0204, 5318124.6289, 5324578.5636, 5324643.8503, 5341580.1447))"
4158429632.49,419119.202236,11,10,16,Cook,COOK,31,500,125,378792.666625,4152415958.31,"list(c(646330.9807, 650263.415, 654826.374, 656958.089, 657774.876, 659789.237, 660560.186, 660837.465, 661707.768, 661956.879, 663237.41, 663865.537, 665226.128, 665282.667, 663803.099, 664997.294, 664452.422, 667422.341, 675576.119, 680106.762, 681645.288, 680906.313, 681914.935, 687115.683, 688517.274, 690708.544, 693312.059, 695514.629, 700240.892, 701814.595, 712807.924, 721671.712, 722379.751, 723666.931, 724114.889, 727226.03, 728585.745, 729596.423, 731499.258, 733396.399, 735205.212, 735336.518, 
736358.567, 737134.606, 740424.41, 744284.749, 744903.649, 748936.692, 749797.69, 752723.667, 752967.39, 755048.098, 761655.0734, 761157.0987, 759986.6428, 759414.3052, 758255.4575, 757665.9993, 756481.5864, 756130.0654, 756525.5777, 755676.5534, 755912.7382, 753645.36, 752521.4454, 752974.0084, 751873.2163, 750023.3985, 750912.0103, 749650.8461, 747784.8257, 747128.0714, 747805.6106, 745991.0849, 742376.1659, 732611.7999, 730180.6244, 729803.1921, 726604.0423, 726258.003, 719260.0057, 718659.0116, 
712331.7401, 710614.0575, 706055.3216, 701150.1573, 699935.4311, 699460.1868, 699289.9996, 695607.5526, 692164.0761, 691651.4005, 685167.8761, 683740.5334, 667036.7557, 658745.2505, 657547.9183, 656967.3516, 648984.6719, 647955.5914, 646330.9807, 5339161.6278, 5342681.905, 5344049.275, 5345798.464, 5344918.543, 5345718.626, 5344650.87, 5338239.92, 5338243.782, 5339122.743, 5338396.033, 5336343.901, 5336898.119, 5335170.11, 5333859.534, 5333779.523, 5333127.975, 5328858.411, 5330496.373, 5332893.2, 
5332711.916, 5331030.928, 5329850.28, 5330365.152, 5331489.349, 5330441.894, 5331243.381, 5329740.355, 5331532.106, 5330865.31, 5332757.806, 5329997.948, 5328065.01, 5327090.208, 5323786.67, 5321986.518, 5322596.669, 5320561.146, 5319570.492, 5319418.089, 5320282.412, 5321450.37, 5321106.432, 5322909.557, 5323864.538, 5323796.82, 5322560.249, 5322880.579, 5322121.935, 5323843.328, 5322629.647, 5321497.869, 5322852.4078, 5322433.3772, 5322320.836, 5321896.6292, 5321662.148, 5321341.4114, 5321287.7457, 
5320969.6238, 5320903.3215, 5320789.7055, 5320411.1955, 5319620.7707, 5320162.4192, 5321074.5547, 5321221.4603, 5319390.7201, 5316624.0582, 5317978.0466, 5317640.8807, 5316565.186, 5315478.8547, 5314645.3641, 5310733.0542, 5305907.9855, 5305651.9797, 5304252.9816, 5302797.6589, 5301822.8547, 5299496.3135, 5298419.4496, 5297064.1112, 5295283.4367, 5294679.384, 5292667.8406, 5291459.5779, 5291843.8685, 5291366.7203, 5290770.277, 5289654.3669, 5288721.1768, 5286453.6815, 5284767.6191, 5274872.4808, 
5267835.2691, 5265718.8303, 5265999.9923, 5258735.6533, 5305765.6721, 5339161.6278))"
